Iterations,LTCode,LTReal,LTUser,LTSys,PCCode,PCReal,PCUser,PCSys
100,0.00000,0.003,0.000,0.003,0.00000,0.067,0.000,0.000
100,0.00000,0.003,0.001,0.002,0.00000,0.058,0.000,0.015
100,0.00000,0.003,0.002,0.001,0.00000,0.053,0.000,0.015
100,0.00000,0.003,0.001,0.001,0.00000,0.054,0.015,0.015
100,0.00000,0.002,0.001,0.002,0.00000,0.054,0.000,0.015
100,0.00000,0.003,0.000,0.003,0.00000,0.049,0.000,0.000
100,0.00000,0.003,0.000,0.003,0.00000,0.061,0.000,0.000
100,0.00000,0.003,0.000,0.003,0.00000,0.063,0.000,0.000
100,0.00000,0.003,0.000,0.003,0.00000,0.048,0.000,0.000
100,0.00000,0.003,0.001,0.003,0.00000,0.054,0.000,0.015
1K,0.00000,0.003,0.000,0.002,0.00000,0.071,0.000,0.031
1K,0.00000,0.002,0.002,0.001,0.00000,0.051,0.000,0.031
1K,0.00000,0.003,0.000,0.003,0.00000,0.062,0.000,0.059
1K,0.00000,0.003,0.000,0.002,0.00000,0.059,0.000,0.000
1K,0.00000,0.002,0.000,0.003,0.00000,0.054,0.015,0.000
1K,0.00000,0.003,0.000,0.002,0.00000,0.062,0.000,0.000
1K,0.00000,0.003,0.001,0.002,0.00000,0.055,0.000,0.015
1K,0.00000,0.003,0.000,0.004,0.00000,0.050,0.015,0.000
1K,0.00000,0.003,0.001,0.003,0.00000,0.047,0.000,0.000
1K,0.00000,0.003,0.001,0.003,0.00000,0.058,0.000,0.000
10K,0.00000,0.002,0.002,0.000,0.00000,0.074,0.000,0.000
10K,0.00001,0.003,0.003,0.000,0.00000,0.056,0.000,0.015
10K,0.00001,0.002,0.000,0.002,0.00000,0.054,0.000,0.015
10K,0.00000,0.002,0.001,0.001,0.00000,0.063,0.000,0.000
10K,0.00000,0.002,0.001,0.002,0.00000,0.049,0.000,0.000
10K,0.00000,0.003,0.000,0.003,0.00000,0.050,0.000,0.015
10K,0.00000,0.002,0.000,0.003,0.00000,0.052,0.000,0.015
10K,0.00000,0.003,0.002,0.002,0.00000,0.052,0.031,0.015
10K,0.00000,0.003,0.000,0.003,0.00000,0.060,0.000,0.015
10K,0.00000,0.003,0.001,0.002,0.00000,0.053,0.000,0.015
100K,0.00004,0.002,0.000,0.002,0.00001,0.063,0.000,0.000
100K,0.00004,0.002,0.000,0.003,0.00001,0.054,0.000,0.016
100K,0.00005,0.002,0.000,0.003,0.00001,0.051,0.000,0.015
100K,0.00005,0.003,0.001,0.002,0.00001,0.056,0.000,0.015
100K,0.00005,0.003,0.000,0.003,0.00001,0.062,0.000,0.000
100K,0.00005,0.003,0.001,0.002,0.00001,0.062,0.000,0.000
100K,0.00006,0.003,0.000,0.004,0.00001,0.052,0.000,0.015
100K,0.00006,0.004,0.001,0.003,0.00001,0.050,0.015,0.000
100K,0.00006,0.004,0.001,0.003,0.00001,0.054,0.000,0.015
100K,0.00006,0.004,0.000,0.004,0.00001,0.049,0.015,0.000
1M,0.00045,0.003,0.000,0.003,0.00011,0.076,0.000,0.000
1M,0.00040,0.003,0.001,0.002,0.00011,0.059,0.000,0.000
1M,0.00039,0.003,0.002,0.001,0.00011,0.063,0.000,0.000
1M,0.00042,0.003,0.000,0.003,0.00011,0.051,0.000,0.015
1M,0.00046,0.003,0.000,0.004,0.00011,0.055,0.000,0.015
1M,0.00050,0.004,0.000,0.004,0.00011,0.055,0.000,0.015
1M,0.00049,0.003,0.001,0.003,0.00022,0.047,0.000,0.000
1M,0.00048,0.003,0.001,0.002,0.00011,0.048,0.000,0.000
1M,0.00080,0.004,0.002,0.003,0.00011,0.057,0.000,0.015
1M,0.00058,0.004,0.001,0.003,0.00011,0.057,0.000,0.015
10M,0.00401,0.007,0.004,0.003,0.00109,0.069,0.015,0.000
10M,0.00385,0.006,0.006,0.000,0.00108,0.055,0.000,0.015
10M,0.00532,0.008,0.006,0.003,0.00108,0.052,0.000,0.015
10M,0.00476,0.008,0.007,0.001,0.00108,0.058,0.000,0.015
