syscall,LTCode,PCCode
writeHello,0.00013,0.00001
writeHello,0.00012,0.00001
writeHello,0.00010,0.00001
writeHello,0.00006,0.00001
writeHello,0.00013,0.00001
writeHello,0.00016,0.00001
writeHello,0.00015,0.00001
writeHello,0.00013,0.00001
writeHello,0.00010,0.00001
writeHello,0.00012,0.00001
writeHello,0.00014,0.00001
writeHello,0.00011,0.00001
writeHello,0.00010,0.00001
writeHello,0.00010,0.00001
writeHello,0.00011,0.00001
writeHello,0.00008,0.00001
writeHello,0.00011,0.00001
writeHello,0.00012,0.00001
writeHello,0.00013,0.00001
writeHello,0.00011,0.00001
writeLorem1,0.00012,0.00001
writeLorem1,0.00014,0.00001
writeLorem1,0.00015,0.00001
writeLorem1,0.00014,0.00001
writeLorem1,0.00012,0.00001
writeLorem1,0.00007,0.00001
writeLorem1,0.00022,0.00001
writeLorem1,0.00016,0.00001
writeLorem1,0.00012,0.00001
writeLorem1,0.00014,0.00001
writeLorem1,0.00015,0.00001
writeLorem1,0.00012,0.00001
writeLorem1,0.00018,0.00001
writeLorem1,0.00020,0.00001
writeLorem1,0.00015,0.00001
writeLorem1,0.00020,0.00001
writeLorem1,0.00014,0.00001
writeLorem1,0.00011,0.00001
writeLorem1,0.00016,0.00001
writeLorem1,0.00017,0.00001
writeLorem10,0.00021,0.00002
writeLorem10,0.00028,0.00002
writeLorem10,0.00019,0.00002
writeLorem10,0.00032,0.00002
writeLorem10,0.00021,0.00002
writeLorem10,0.00030,0.00002
writeLorem10,0.00028,0.00002
writeLorem10,0.00030,0.00002
writeLorem10,0.00032,0.00002
writeLorem10,0.00029,0.00002
writeLorem10,0.00029,0.00002
writeLorem10,0.00026,0.00002
writeLorem10,0.00035,0.00002
writeLorem10,0.00025,0.00002
writeLorem10,0.00026,0.00002
writeLorem10,0.00028,0.00002
writeLorem10,0.00021,0.00002
writeLorem10,0.00028,0.00002
writeLorem10,0.00029,0.00002
writeLorem10,0.00019,0.00002
openPass,0.00013,0.00004
openPass,0.00012,0.00004
openPass,0.00011,0.00004
openPass,0.00010,0.00004
openPass,0.00013,0.00004
openPass,0.00011,0.00004
openPass,0.00009,0.00004
openPass,0.00010,0.00004
openPass,0.00010,0.00004
openPass,0.00010,0.00004
openPass,0.00011,0.00004
openPass,0.00010,0.00004
openPass,0.00009,0.00004
openPass,0.00010,0.00004
openPass,0.00008,0.00004
openPass,0.00010,0.00004
openPass,0.00010,0.00004
openPass,0.00010,0.00004
openPass,0.00008,0.00004
openPass,0.00010,0.00004
openFail,0.00011,0.00004
openFail,0.00008,0.00004
openFail,0.00009,0.00004
openFail,0.00011,0.00004
openFail,0.00010,0.00004
openFail,0.00010,0.00004
openFail,0.00010,0.00004
openFail,0.00010,0.00004
openFail,0.00009,0.00004
openFail,0.00012,0.00004
openFail,0.00009,0.00004
openFail,0.00009,0.00004
openFail,0.00010,0.00004
openFail,0.00013,0.00004
openFail,0.00010,0.00004
openFail,0.00009,0.00004
openFail,0.00010,0.00004
openFail,0.00008,0.00004
openFail,0.00008,0.00004
openFail,0.00010,0.00004
fork0,0.42146,0.23165
fork0,0.42135,0.23148
fork0,0.42052,0.23159
fork0,0.42180,0.23152
fork0,0.42817,0.23196
fork0,0.43111,0.23140
fork0,0.42733,0.23153
fork0,0.42241,0.23165
fork0,0.43451,0.23159
fork0,0.43745,0.23152
fork0,0.41989,0.23142
fork0,0.41610,0.23165
fork0,0.42250,0.23142
fork0,0.42585,0.23207
fork0,0.43077,0.23153
fork0,0.40074,0.23139
fork0,0.42203,0.23145
fork0,0.42188,0.23162
fork0,0.42000,0.23156
fork0,0.42071,0.23202
fork1,0.49689,
fork1,0.50407,
fork1,0.49514,
fork1,0.49584,
fork1,0.49745,
fork1,0.48773,
fork1,0.49107,
fork1,0.49250,
fork1,0.50164,
fork1,0.49035,
fork1,0.50035,
fork1,0.50470,
fork1,0.51631,
fork1,0.49158,
fork1,0.51028,
fork1,0.49702,
fork1,0.49708,
fork1,0.48647,
fork1,0.49452,
fork1,0.48511,
fork2,0.83440,
fork2,0.83193,
fork2,0.85900,
fork2,0.82763,
fork2,0.83292,
fork2,0.83236,
fork2,0.81772,
fork2,0.83037,
fork2,0.84147,
fork2,0.84057,
fork2,0.85278,
fork2,0.81834,
fork2,0.83407,
fork2,0.85123,
fork2,0.83959,
fork2,0.83955,
fork2,0.82966,
fork2,0.83609,
fork2,0.83210,
fork2,0.83733,
