size,LT_Latency,LT_Throughput
4byte,41.170,0.089
4byte,38.900,0.098
4byte,40.790,0.048
4byte,33.670,0.106
4byte,36.800,0.032
4byte,36.660,0.064
4byte,39.100,0.057
4byte,38.470,0.047
4byte,36.880,0.065
4byte,31.690,0.085
4byte,33.920,0.066
4byte,41.310,0.063
4byte,38.180,0.065
4byte,40.770,0.064
4byte,31.330,0.064
4byte,31.630,0.085
4byte,31.130,0.075
4byte,31.360,0.085
4byte,29.120,0.173
4byte,30.880,0.085
16byte,33.670,0.268
16byte,33.430,0.215
16byte,33.500,0.268
16byte,37.920,0.293
16byte,41.200,0.173
16byte,44.720,0.180
16byte,46.300,0.191
16byte,46.030,0.221
16byte,40.560,0.263
16byte,34.900,0.763
16byte,35.140,0.412
16byte,34.360,0.318
16byte,37.390,0.182
16byte,42.070,0.191
16byte,41.550,0.218
16byte,41.560,0.116
16byte,42.650,0.224
16byte,44.990,0.235
16byte,29.190,0.268
16byte,30.170,0.492
64byte,36.700,1.034
64byte,33.280,1.327
64byte,38.270,1.152
64byte,40.760,0.744
64byte,45.490,0.911
64byte,40.220,0.671
64byte,44.970,0.954
64byte,45.140,0.587
64byte,46.240,0.911
64byte,29.760,2.543
64byte,30.610,1.489
64byte,34.060,1.272
64byte,37.420,1.130
64byte,36.700,1.419
64byte,41.770,0.803
64byte,40.050,1.453
64byte,38.310,0.404
64byte,33.690,1.246
64byte,30.530,1.850
64byte,40.080,1.221
256byte,32.600,5.194
256byte,32.490,4.521
256byte,34.770,5.307
256byte,43.000,3.212
256byte,33.990,4.982
256byte,32.670,4.069
256byte,38.340,6.975
256byte,40.850,6.260
256byte,38.740,3.699
256byte,37.700,5.086
256byte,48.650,2.654
256byte,31.050,3.938
256byte,37.020,4.002
256byte,37.570,4.439
256byte,38.920,3.938
256byte,40.580,3.130
256byte,40.300,3.212
256byte,41.020,4.069
256byte,30.030,5.425
256byte,31.250,3.875
1024byte,38.940,17.756
1024byte,34.620,24.414
1024byte,31.640,22.711
1024byte,33.510,16.837
1024byte,39.000,15.259
1024byte,37.880,20.778
1024byte,40.750,13.378
1024byte,42.020,16.552
1024byte,49.830,19.930
1024byte,31.430,18.084
1024byte,39.030,17.756
1024byte,44.010,16.552
1024byte,60.220,13.021
1024byte,47.250,11.225
1024byte,47.220,19.930
1024byte,46.690,12.683
1024byte,44.740,14.576
1024byte,47.070,20.345
1024byte,29.950,40.690
1024byte,34.260,27.127
4k,43.050,62.536
4k,52.590,68.120
4k,48.750,60.551
4k,57.770,52.256
4k,59.500,56.098
4k,60.570,48.287
4k,57.990,38.147
4k,68.760,32.604
4k,69.760,43.349
4k,53.630,68.120
4k,57.470,62.536
4k,58.880,59.605
4k,51.940,37.399
4k,50.660,65.771
4k,53.710,58.688
4k,67.740,31.789
4k,70.900,29.344
4k,56.770,44.357
4k,45.200,69.358
4k,49.320,81.164
16k,82.530,138.716
16k,102.690,104.512
16k,85.240,139.989
16k,101.000,109.775
16k,86.650,108.218
16k,93.670,148.144
16k,76.810,120.148
16k,85.290,105.233
16k,65.210,160.619
16k,69.610,126.106
16k,66.870,162.328
16k,78.370,99.731
16k,77.050,133.849
16k,113.810,105.964
16k,104.960,85.724
16k,92.460,80.734
16k,96.990,77.456
16k,86.410,122.070
16k,75.230,119.209
16k,90.990,135.034
64k,82.070,544.957
64k,92.350,753.520
64k,69.000,910.972
64k,83.550,484.406
64k,120.830,386.298
64k,123.580,376.760
64k,95.590,1387.163
64k,134.640,344.831
64k,99.640,500.288
64k,158.810,319.556
64k,132.540,813.802
64k,149.400,984.438
64k,110.540,535.396
64k,109.890,455.486
64k,138.170,663.426
64k,179.910,311.404
64k,103.800,1356.337
64k,42.740,2653.702
64k,101.340,376.760
64k,130.240,847.711
